phyto,wl,var1,var2,cor,statistic,p,method
synechococcus,470,ap,chl_cell,-0.66,5453.999999999999,2.21e-4,Spearman
synechococcus,532,ap,chl_cell,0.081,3012,0.689,Spearman
synechococcus,660,ap,chl_cell,-0.66,5431.999999999999,2.68e-4,Spearman
synechococcus,470,ap,pe_chla,-0.13,4132,0.505,Spearman
synechococcus,532,ap,pe_chla,0.49,1872,0.00919,Spearman
synechococcus,660,ap,pe_chla,-0.23,4498,0.236,Spearman
synechococcus,470,ap,pub_peb,0.018,3590,0.93,Spearman
synechococcus,532,ap,pub_peb,-0.83,6672,1.47e-6,Spearman
synechococcus,660,ap,pub_peb,0.07,3398,0.722,Spearman
synechococcus,470,ap,Fv_Fm,0.23,2252,0.257,Spearman
synechococcus,532,ap,Fv_Fm,0.082,2686,0.691,Spearman
synechococcus,660,ap,Fv_Fm,0.15,2474,0.45,Spearman
synechococcus,470,ap,red,0.23,2509.8830623609706,0.24,Spearman
synechococcus,532,ap,red,0.063,3070.96870467885,0.756,Spearman
synechococcus,660,ap,red,0.14,2805.928249751509,0.475,Spearman
synechococcus,470,cp,ap,0.7,1084.0000000000002,4.76e-5,Spearman
synechococcus,532,cp,ap,-0.31,4771.999999999999,0.113,Spearman
synechococcus,660,cp,ap,0.69,1124,6.9e-5,Spearman
synechococcus,470,cp,cp,1,0,0,Spearman
synechococcus,532,cp,cp,1,0,0,Spearman
synechococcus,660,cp,cp,1,0,0,Spearman
synechococcus,470,cp,bbp,0.7,1086.0000000000002,4.85e-5,Spearman
synechococcus,532,cp,bbp,0.75,928.0000000000003,9.79e-6,Spearman
synechococcus,660,cp,bbp,0.74,966,1.46e-5,Spearman
synechococcus,470,cp,bb_b,-0.66,6068,1.86e-4,Spearman
synechococcus,532,cp,bb_b,-0.74,6370,1.09e-5,Spearman
synechococcus,660,cp,bb_b,-0.56,5712,0.00214,Spearman
synechococcus,470,cp,cells,0.82,588.0000000000001,1.8e-6,Spearman
synechococcus,532,cp,cells,0.81,638.0000000000003,2.11e-6,Spearman
synechococcus,660,cp,cells,0.78,712.0000000000005,3.6e-6,Spearman
synechococcus,470,cp,fsc,0.54,1521.7322341790368,0.004,Spearman
synechococcus,532,cp,fsc,0.56,1439.7197160505766,0.00236,Spearman
synechococcus,660,cp,fsc,0.57,1405.714525607069,0.00187,Spearman
synechococcus,470,cp,ssc,0.61,1275.6946797936566,7.18e-4,Spearman
synechococcus,532,cp,ssc,0.63,1213.6852148672601,4.34e-4,Spearman
synechococcus,660,cp,ssc,0.62,1241.689489350149,5.47e-4,Spearman
synechococcus,470,cp,poc_optics,0.8,110.00000000000004,4.89e-4,Spearman
synechococcus,532,cp,poc_optics,0.75,142.00000000000006,0.00205,Spearman
synechococcus,660,cp,poc_optics,0.77,130.00000000000003,0.00128,Spearman
synechococcus,470,cp,poc_cell,-0.3,592,0.295,Spearman
synechococcus,532,cp,poc_cell,-0.22,553.9999999999999,0.454,Spearman
synechococcus,660,cp,poc_cell,-0.23,560,0.426,Spearman
synechococcus,470,cp,cn,0.73,150.00000000000009,0.00273,Spearman
synechococcus,532,cp,cn,0.78,122.00000000000006,9.02e-4,Spearman
synechococcus,660,cp,cn,0.77,126.00000000000006,0.00108,Spearman
synechococcus,470,cp,c_chl,0.65,194.00000000000009,0.01,Spearman
synechococcus,532,cp,c_chl,0.68,180.00000000000003,0.0069,Spearman
synechococcus,660,cp,c_chl,0.69,174.00000000000009,0.00582,Spearman
synechococcus,470,cp,chl_line_height,0.82,672.0000000000003,1.58e-6,Spearman
synechococcus,532,cp,chl_line_height,0.8,746,2.04e-6,Spearman
