----,
DateTime:,      2022/05/09, 23:30:04, 1652164203,
PIF:,             48.98,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   122.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  478,   229785.8,    187.740,      91.889,
  479,   229825.8,    187.690,      92.077,
  480,   229865.8,    187.653,      90.668,
  481,   229905.8,    187.638,      94.883,
  482,   229945.8,    187.738,      93.836,
  483,   229985.8,    187.750,      92.583,
  484,   230025.8,    187.764,      91.504,
  485,   230065.8,    187.687,      92.216,
  486,   230105.8,    187.700,      92.583,
  487,   230145.8,    187.725,      91.118,
  488,   230185.8,    187.662,      92.154,
  489,   230225.8,    187.752,      92.160,
  490,   230265.8,    187.739,      92.693,
  491,   230305.8,    187.725,      93.724,
  492,   230345.8,    187.697,      92.700,
  493,   230385.8,    187.786,      93.604,
  494,   230425.8,    187.685,      92.758,
  495,   230465.8,    187.722,      93.494,
  496,   230505.8,    187.786,      94.873,
  497,   230545.8,    187.734,      92.548,
  498,   230585.8,    187.736,      91.472,
  499,   230625.8,    187.736,      93.253,
  500,   230665.8,    187.685,      94.498,
  501,   230705.8,    187.760,      94.478,
  502,   230745.8,    187.697,      94.468,
  503,   230785.8,    187.733,      93.634,
  504,   230825.8,    187.722,      94.201,
  505,   230865.8,    187.748,      93.131,
  506,   230905.8,    187.696,      93.472,
  507,   230945.8,    187.669,      93.505,
  508,   230985.8,    187.784,      94.187,
  509,   231025.8,    187.783,      95.946,
  510,   231065.8,    187.757,      95.901,
  511,   231105.8,    187.719,      94.506,
  512,   231145.8,    187.744,      94.139,
  513,   231185.8,    187.718,      93.467,
  514,   231225.8,    187.705,      93.490,
  515,   231265.8,    187.768,      94.404,
  516,   231305.8,    187.703,      94.066,
  517,   231345.8,    187.728,      93.571,
  518,   231385.8,    187.766,      94.824,
  519,   231425.8,    187.752,      95.012,
  520,   231465.8,    187.698,      94.694,
  521,   231505.8,    187.712,      94.511,
  522,   231545.8,    187.776,      94.664,
  523,   231585.8,    187.738,      94.391,
  524,   231625.8,    187.727,      94.380,
  525,   231665.8,    187.740,      95.271,
  526,   231705.8,    187.729,      96.146,
  527,   231745.8,    187.740,      95.607,
