exp,exp_no,phyto,source,bottle,tp,datetime,date,time,plot_date,plot_datetime,wl,cp,c_se,ap,a_se,bp,abs_line_height,chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,712.8,0.358387646733627,2.2999869032088542e-4,0.00379192721619152,1.1529480943097503e-4,0.35459571951743546,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,716.6,0.359040019791251,2.328087970644405e-4,0.00369944097737268,7.942072858139856e-5,0.3553405788138783,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,719.8,0.358324337086723,2.3274556950175472e-4,0.00340452503083197,5.4236478299736244e-5,0.354919812055891,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,723.2,0.359071446968214,2.328067541042748e-4,0.00368683168037794,6.130375196992538e-5,0.3553846152878361,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,726.5,0.36018610310785,2.333562645156546e-4,0.00365698235298472,6.12979240449287e-5,0.35652912075486526,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,729.4,0.359999503032677,2.3341767623612835e-4,0.0037610098833832,6.963845250713956e-5,0.35623849314929384,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,732.3,0.361126313674469,2.3171406867101164e-4,0.00390526033499061,7.406499816605777e-5,0.3572210533394784,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,735.3,0.36068581264102,2.3801131029504099e-4,0.00372113368858958,7.752374000636456e-5,0.35696467895243045,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,738.3,0.359578825229457,2.3466755113910688e-4,0.00337253262115429,8.343505068770184e-5,0.3562062926083027,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,741.3,0.358553811837362,2.3417221544401443e-4,0.0031799982962067,8.701810759513666e-5,0.3553738135411553,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,744.2,0.356514273908899,2.3643450326761418e-4,0.00308696858289425,9.304590098449556e-5,0.35342730532600475,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,746.7,0.353955330095222,2.404256187894994e-4,0.00310539880232112,1.047413428205084e-4,0.3508499312929009,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,749.4,0.352125543424533,2.2719986174949571e-4,0.00192007336032243,1.1200273117752566e-4,0.3502054700642106,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,400,0.352950665914898,4.988014744797094e-4,0.038816323830517405,0.001267735625666477,0.31413434208438057,0.015279185197837723,1.9485132284169802
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,404.6,0.35342975941489807,4.915309774812316e-4,0.03974126258051731,9.935308664519684e-4,0.31368849683438077,0.015279185197837723,1.9485132284169802
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,408.7,0.3492828475,4.517147576141848e-4,0.0376199638841041,8.238805777590908e-4,0.3116628836158959,0.015279185197837723,1.9485132284169802
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,412.5,0.348422399228724,4.257773146787169e-4,0.038728523558207294,6.651759415776006e-4,0.3096938756705167,0.015279185197837723,1.9485132284169802
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,416.9,0.34551611,4.1023370724052426e-4,0.039384805134103994,5.551382426697562e-4,0.306131304865896,0.015279185197837723,1.9485132284169802
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,421.4,0.34152944625,4.1138527605048993e-4,0.040711992634104,4.802124950571987e-4,0.30081745361589596,0.015279185197837723,1.9485132284169802
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,426.5,0.34152904859999994,3.8664545047488696e-4,0.039338377634104096,5.011314687534829e-4,0.30219067096589586,0.015279185197837723,1.9485132284169802
TP22-14,2,italic('T. Pseudonana'),Optics,B,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,430.9,0.338910925,4.094753389665607e-4,0.041032441384104106,4.1474428203169285e-4,0.29787848361589586,0.015279185197837723,1.9485132284169802
